Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Mar 12 2010,2455267.999988430,290088001,69.15,7.09E-08,1.83E-08
Mar 19 2010,2455274.999988430,290692801,76.81,4.61E-08,1.41E-08
Mar 26 2010,2455281.999988430,291297601,52.73,4.97E-08,1.59E-08
Apr 02 2010,2455288.999988430,291902401,114.36,6.51E-08,1.55E-08
Apr 09 2010,2455295.999988430,292507201,59.34,4.01E-08,1.38E-08
Apr 16 2010,2455302.999988430,293112001,106.24,7.2E-08,1.62E-08
Apr 23 2010,2455309.999988430,293716801,41.91,4.55E-08,1.52E-08
Apr 30 2010,2455316.999988430,294321601,68.36,7.07E-08,1.79E-08
May 07 2010,2455323.999988430,294926401,72.02,6.07E-08,1.67E-08
May 14 2010,2455330.999988430,295531201,60.24,6.01E-08,1.63E-08
May 21 2010,2455337.999988430,296136001,81.4,5.35E-08,1.39E-08
May 28 2010,2455344.999988430,296740801,33.23,4.47E-08,1.48E-08
Jun 04 2010,2455351.999988430,297345601,65.42,4.62E-08,1.34E-08
Jun 11 2010,2455358.999988430,297950401,83.88,5.11E-08,1.37E-08
Jun 18 2010,2455365.999988430,298555201,52.08,5.09E-08,1.53E-08
Jun 25 2010,2455372.999988430,299160001,91,5.65E-08,1.44E-08
Jul 02 2010,2455379.999988430,299764801,76.29,6.39E-08,1.61E-08
Jul 09 2010,2455386.999988430,300369601,135.31,7.91E-08,1.69E-08
Jul 23 2010,2455400.999988430,301579201,145.29,9.93E-08,1.78E-08
Jul 30 2010,2455407.999988430,302184001,160.48,8.83E-08,1.69E-08
Aug 06 2010,2455414.999988430,302788801,65.2,5.86E-08,1.59E-08
Aug 13 2010,2455421.999988430,303393601,95.25,6.68E-08,1.56E-08
Aug 20 2010,2455428.999988430,303998401,90.95,6.61E-08,1.56E-08
Aug 27 2010,2455435.999988430,304603201,73.21,4.59E-08,1.32E-08
Sep 03 2010,2455442.999988430,305208001,60.72,4.8E-08,1.32E-08
Sep 10 2010,2455449.999988430,305812801,89.89,4.72E-08,1.24E-08
Sep 17 2010,2455456.999988430,306417601,64.37,5.27E-08,1.39E-08
Sep 24 2010,2455463.999988430,307022401,37.78,4.52E-08,1.79E-08
Oct 01 2010,2455470.999988430,307627201,91.72,6.21E-08,1.53E-08
Oct 08 2010,2455477.999988430,308232001,58.06,7.27E-08,1.83E-08
Oct 15 2010,2455484.999988430,308836801,37.73,5.18E-08,1.57E-08
Oct 22 2010,2455491.999988430,309441601,94.65,5.92E-08,1.54E-08
Oct 29 2010,2455498.999988430,310046401,106.58,6.74E-08,1.55E-08
Nov 05 2010,2455505.999988430,310651201,88.26,5.47E-08,1.48E-08
Nov 12 2010,2455512.999988430,311256001,20.14,2.81E-08,1.15E-08
Nov 19 2010,2455519.999988430,311860801,52.09,5.47E-08,1.56E-08
Nov 26 2010,2455526.999988430,312465601,38.77,4.06E-08,1.38E-08
Dec 03 2010,2455533.999988430,313070401,32.77,3.6E-08,1.28E-08
Dec 10 2010,2455540.999988430,313675201,63.91,5.39E-08,1.57E-08
Dec 17 2010,2455547.999988430,314280001,71.15,4.34E-08,1.32E-08
Dec 24 2010,2455554.999988430,314884801,40.46,3.15E-08,1.28E-08
Dec 31 2010,2455561.999988430,315489601,95.71,3.71E-08,1.04E-08
Jan 07 2011,2455568.999988430,316094401,76.21,3.87E-08,1.17E-08
Jan 14 2011,2455575.999988430,316699201,14.03,2.22E-08,1.12E-08
Jan 21 2011,2455582.999988430,317304001,9.4,1.48E-08,9.23E-09
Jan 28 2011,2455589.999988430,317908801,82.39,4.91E-08,1.43E-08
Feb 04 2011,2455596.999988430,318513601,55.73,5.28E-08,1.57E-08
Feb 11 2011,2455603.999988430,319118401,58.87,5.29E-08,1.51E-08
Feb 18 2011,2455610.999988430,319723201,56.48,4.9E-08,1.43E-08
Feb 25 2011,2455617.999988430,320328001,31.62,3.13E-08,1.2E-08
Mar 04 2011,2455624.999988430,320932801,44.96,4.6E-08,1.34E-08
Mar 11 2011,2455631.999988430,321537601,33.6,3.94E-08,1.43E-08
Mar 18 2011,2455638.999988430,322142401,54.44,4.08E-08,1.35E-08
Mar 25 2011,2455645.999988430,322747201,115.01,5.88E-08,1.48E-08
Apr 01 2011,2455652.999988430,323352001,75.54,4.37E-08,1.25E-08
Apr 08 2011,2455659.999988430,323956801,34.5,2.82E-08,1.13E-08
Apr 15 2011,2455666.999988430,324561601,22.81,1.67E-08,1.12E-08
Apr 22 2011,2455673.999988430,325166401,56.63,4.61E-08,1.34E-08
Apr 29 2011,2455680.999988430,325771201,19.8,2.13E-08,1.03E-08
May 06 2011,2455687.999988430,326376001,43.99,3.88E-08,1.38E-08
May 13 2011,2455694.999988430,326980801,47.4,2.71E-08,1.05E-08
May 20 2011,2455701.999988430,327585601,8.48,1.18E-08,9.31E-09
May 27 2011,2455708.999988430,328190401,41.49,3.47E-08,1.25E-08
Jun 03 2011,2455715.999988430,328795201,33.32,3.04E-08,1.14E-08
Jun 10 2011,2455722.999988430,329400001,49.93,3.49E-08,1.15E-08
Jun 17 2011,2455729.999988430,330004801,89.78,5.52E-08,1.47E-08
Jun 24 2011,2455736.999988430,330609601,39.54,2.85E-08,1.2E-08
Jul 01 2011,2455743.999988430,331214401,55.25,4.9E-08,1.48E-08
Jul 08 2011,2455750.999988430,331819201,40.27,3.82E-08,1.3E-08
Jul 15 2011,2455757.999988430,332424001,61.92,4.54E-08,1.33E-08
Jul 22 2011,2455764.999988430,333028801,59.84,4.83E-08,1.44E-08
Jul 29 2011,2455771.999988430,333633601,33.8,3.83E-08,1.3E-08
Aug 05 2011,2455778.999988430,334238401,20.75,1.17E-08,6.4E-09
